Title,Book Author,Narrated by,Series,Book Length,Released Date,Language,Ratings
Born of Blood and Ash,Jennifer L. Armentrout,,Flesh and Fire,24 hrs,08-13-24,English,Not rated yet
Long Island Compromise,Taffy Brodesser-Akner,Edoardo Ballerini,,15 hrs and 23 mins,07-09-24,English,2 out of 5 stars
The Front Runner,Elsie Silver,Zachary Webber,Gold Rush Ranch,9 hrs and 26 mins,06-28-24,English,5 out of 5 stars
Unintended Cultivator: Volume 3,Eric Dontigney,Adam Verner,Unintended Cultivator,13 hrs and 47 mins,07-02-24,English,5 out of 5 stars
Accidental Champion,Todd Herzman,John Pirhalla,Accidental Champion,20 hrs and 46 mins,06-25-24,English,4.5 out of 5 stars
The History of Sound,Ben Shattuck,Ben Shattuck,,9 hrs and 29 mins,07-09-24,English,Not rated yet
The Moonstone Brooch,Katherine Lowry Logan,Marnye Young,The Celtic Brooch,26 hrs and 47 mins,07-01-24,English,5 out of 5 stars
Secrets Aboard!,Brina Brady,James Talbot,,6 hrs and 16 mins,07-08-24,English,Not rated yet
Junkyard Roadhouse,Faith Hunter,Khristine Hvam,Shining Smith,4 hrs and 36 mins,07-02-24,English,4.5 out of 5 stars
The Adversary,"Torsten Weitze,Tim Casey - translator",Gildart Jackson,The 13th Paladin,22 hrs and 44 mins,06-18-24,English,5 out of 5 stars
The Good Doctor,A.J. Rivers,Claire Duncan,Ava James FBI Mystery,8 hrs,07-08-24,English,Not rated yet
Emperor's End,Kyle Kirrin,Travis Baldree,The Ripple System,16 hrs and 18 mins,06-04-24,English,5 out of 5 stars
You Like It Darker,Stephen King,Will Patton,,20 hrs and 21 mins,05-21-24,English,4.5 out of 5 stars
Red Tithe,Robbie MacNiven,Shogo Miyakita,,9 hrs and 48 mins,06-15-24,English,4.5 out of 5 stars
Now or Never,Janet Evanovich,,Stephanie Plum,8 hrs,11-19-24,English,Not rated yet
Secrets and Strife: An Isekai LitRPG,SourpatchHero,Nick Podehl,I'm Not the Hero,16 hrs and 53 mins,08-13-24,English,Not rated yet
Don't Cry Over Spilled MILF,"Willow Aster,Laura Pavlov",Vincent Skye,The G.D. Taylors Series,7 hrs and 57 mins,07-09-24,English,5 out of 5 stars
Ember,"Brian Andrews,Jeffrey Wilson",Ray Porter,Tier One,13 hrs and 57 mins,07-02-24,English,5 out of 5 stars
Somewhere Beyond the Sea,TJ Klune,Daniel Henning,Cerulean Chronicles,15 hrs and 48 mins,09-10-24,English,Not rated yet
Avatar,Seth Ring,Eric Jason Martin,Tower,13 hrs and 41 mins,07-10-24,English,5 out of 5 stars
This Is Why We Lied,Karin Slaughter,Kathleen Early,Will Trent,18 hrs and 6 mins,08-20-24,English,Not rated yet
When the Night Comes Falling,Howard Blum,Zac Aleman,,5 hrs and 43 mins,06-25-24,English,4.5 out of 5 stars
Service Model,Adrian Tchaikovsky,Adrian Tchaikovsky,,12 hrs and 21 mins,06-04-24,English,4.5 out of 5 stars
Siege of Vraks,Steve Lyons,Timothy Watson,"Warhammer 40,000",9 hrs and 48 mins,06-22-24,English,4.5 out of 5 stars
The Knight,Will Wight,Travis Baldree,The Last Horizon,9 hrs and 48 mins,06-11-24,English,5 out of 5 stars
It Should Have Been Us,Anna B. Doe,Callie Dalton,Bluebonnet Creek,13 hrs and 53 mins,07-09-24,English,Not rated yet
Passions in Death: An Eve Dallas Novel,J. D. Robb,Susan Ericksen,In Death,13 hrs and 54 mins,09-03-24,English,Not rated yet
A Clash of Kings,George R.R. Martin,Roy Dotrice,A Song of Ice and Fire,37 hrs and 12 mins,12-28-03,English,5 out of 5 stars
A Storm of Swords,George R.R. Martin,Roy Dotrice,A Song of Ice and Fire,47 hrs and 34 mins,03-11-04,English,5 out of 5 stars
Flashback,"Michelle Sass Aleckson,Susan May Warren,Lisa Phillips",Garrett Kiesel,Chasing Fire: Montana,5 hrs and 27 mins,07-09-24,English,Not rated yet
Quoz,Mel Mattison,Kyle Snyder,,9 hrs and 38 mins,07-09-24,English,5 out of 5 stars
House of Sky and Breath,Sarah J. Maas,Elizabeth Evans,Crescent City,27 hrs and 42 mins,02-15-22,English,5 out of 5 stars
On Call,Anthony Fauci M.D.,Anthony Fauci M.D.,,19 hrs and 12 mins,06-18-24,English,5 out of 5 stars
Indaria,SunriseCV,Adam Verner,System Universe Series,13 hrs and 57 mins,06-19-24,English,4.5 out of 5 stars
The Sky on Fire,Jenn Lyons,Lauren Fortgang,,17 hrs and 51 mins,07-09-24,English,Not rated yet
The Hollywood Assistant,May Cobb,Brittany Wilkerson,,12 hrs and 7 mins,07-09-24,English,Not rated yet
True Believer,Jack Carr,Ray Porter,Terminal List Book Series,15 hrs and 44 mins,07-30-19,English,5 out of 5 stars
Umbral Savage,JD Glasscock,Jack Ethan Dye,Nocturne,16 hrs and 1 min,07-03-24,English,5 out of 5 stars
Shadow of Doubt,Brad Thor,Armand Schultz,The Scot Harvath Series,11 hrs and 30 mins,08-06-24,English,Not rated yet
Her Grace,Shana Granderson A Lady,Karen Cass,,11 hrs and 58 mins,07-09-24,English,4 out of 5 stars
Pieces of Us,A.L. Jackson,Andi Arndt,Confessions of the Heart Series,10 hrs and 23 mins,07-08-24,English,4.5 out of 5 stars
Dire Straits and Entwined Fates,Alice Winters,Michael Ferraiuolo,Fanged Mistakes,10 hrs and 29 mins,06-17-24,English,5 out of 5 stars
Until Next Summer,Ali Brady,Brittany Pressley,,11 hrs and 43 mins,07-09-24,English,Not rated yet
Under the Midnight Sky: Love's Journey on an Alaskan Cruise,Janice Jarrell,Walker Williams,,4 hrs and 46 mins,07-08-24,English,5 out of 5 stars
Wired for Love (Second Edition),"Stan Tatkin PsyD MFT,Harville Hendrix PhD - foreword",Stan Tatkin,,9 hrs and 41 mins,07-09-24,English,Not rated yet
Oathbringer,Brandon Sanderson,Kate Reading,The Stormlight Archive,55 hrs and 5 mins,11-14-17,English,5 out of 5 stars
Arcane Arctic,Peter North,Evan Glasser,Arcane Arctic,10 hrs and 13 mins,07-09-24,English,5 out of 5 stars
Silenced in the Falls,Elle Gray,Emily Norman,A Sweetwater Falls Mystery,7 hrs and 4 mins,07-03-24,English,5 out of 5 stars
Deadworld Isekai: A Sci-Fi LitRPG Adventure,R. C. Joshua,Daniel Thomas May,Deadworld Isekai,11 hrs and 36 mins,07-09-24,English,4 out of 5 stars
Hold Me Until Morning,A.L. Jackson,Stephen Dexter,Time River,12 hrs and 34 mins,07-01-24,English,4.5 out of 5 stars
Too Tired to Fight,"Erin Mitchell MACP,Stephen Mitchell PhD",Erin Mitchell MACP,,7 hrs and 36 mins,07-09-24,English,5 out of 5 stars
City of the Damned,David Guymer,Jonathan Keeble,Gotrek and Felix: Warhammer Chronicles,12 hrs and 56 mins,06-15-24,English,4.5 out of 5 stars
The Mercy of Gods,James S.A. Corey,Jefferson Mays,Captive's War,14 hrs and 54 mins,08-06-24,English,Not rated yet
The Waiting,Michael Connelly,,A Renée Ballard and Harry Bosch Novel,12 hrs,10-15-24,English,Not rated yet
Liberty Falls,Lee Jacquot,Jaclyn Kelso,Holinights,2 hrs and 36 mins,07-05-24,English,5 out of 5 stars
Red Sky Mourning,Jack Carr,Ray Porter,Terminal List Book Series,15 hrs and 28 mins,06-18-24,English,5 out of 5 stars
Ladykiller,Katherine Wood,Marcella Black,,11 hrs and 29 mins,07-09-24,English,5 out of 5 stars
Slash or Pass,Tylor Paige,Westin Garrett,Final Girls,10 hrs and 27 mins,06-25-24,English,5 out of 5 stars
Claimed by Lucifer: The Complete Series,Elizabeth Briggs,Lia Langola,Claimed by Lucifer,28 hrs and 36 mins,07-03-24,English,3.5 out of 5 stars
Children of Dune,Frank Herbert,Scott Brick,Dune Saga,16 hrs and 51 mins,02-05-08,English,4.5 out of 5 stars
Voracious,James T. Callum,Eric Michael Summerer,Beastborne,16 hrs and 34 mins,07-30-24,English,Not rated yet
All the Colors of the Dark,Chris Whitaker,Edoardo Ballerini,,14 hrs and 37 mins,06-25-24,English,4.5 out of 5 stars
The New Marriage Clinic,"John M. Gottman,Julie Schwartz Gottman",Jon Vertullo,,19 hrs and 9 mins,07-09-24,English,Not rated yet
Praying Through the Names of God,Tony Evans,Jamal West,,3 hrs and 55 mins,07-05-24,English,Not rated yet
The CEO Enemy,Jolie Day,Jacob Morgan,Next Door to a Billionaire,8 hrs and 41 mins,07-02-24,English,4.5 out of 5 stars
Plantifully Simple,Kiki Nelson,Kiki Nelson,,1 hr and 50 mins,07-09-24,English,Not rated yet
Rhythm of War,Brandon Sanderson,Kate Reading,The Stormlight Archive,57 hrs and 26 mins,11-17-20,English,5 out of 5 stars
Betrothal or Breakaway,Leah Brunner,Alex Picard,D.C. Eagles Hockey,8 hrs and 29 mins,07-09-24,English,4 out of 5 stars
The Coldest Case: The Past Has a Long Memory,"James Patterson,Aaron Tracy,Ryan Silbert",Aaron Paul,A Billy Harney Thriller,3 hrs and 41 mins,06-13-24,English,4.5 out of 5 stars
Tommy and Tuppence. Novels and Stories,Agatha Christie,Peter Coates,,11 hrs and 40 mins,07-03-24,English,5 out of 5 stars
Diario de Greg 3 [Diary of a Wimpy Kid: The Last Straw],"Jeff Kinney,Esteban Morán - translator",Oliver Díaz Barba,Diario de Greg [Diary of a Wimpy Kid],2 hrs and 18 mins,07-04-24,Spanish,Not rated yet
Kingdom of Claw,Demi Winters,Islay Jacobs,The Ashen Series,24 hrs and 47 mins,07-09-24,English,5 out of 5 stars
Words of Radiance,Brandon Sanderson,Michael Kramer,The Stormlight Archive,48 hrs and 13 mins,03-04-14,English,5 out of 5 stars
Harry Potter and the Goblet of Fire (Narrated by Stephen Fry),J.K. Rowling,Stephen Fry,Harry Potter (Narrated by Stephen Fry),20 hrs and 54 mins,04-18-24,English,5 out of 5 stars
Burn to Shine,Jonathan Maberry,Ray Porter,,15 hrs,03-04-25,English,Not rated yet
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Jim Dale,Harry Potter,20 hrs and 36 mins,11-20-15,English,5 out of 5 stars
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Jim Dale,Harry Potter,18 hrs and 32 mins,11-20-15,English,5 out of 5 stars
This Used to Be Us,Renée Carlino,Rob Shapiro,,10 hrs and 38 mins,07-09-24,English,4 out of 5 stars
Unhumans,"Jack Posobiec,Joshua Lisec",Chase Macdonald,,10 hrs and 1 min,06-26-24,English,5 out of 5 stars
A World Made New: A Channeled Text,Paul Selig,Paul Selig,The Manifestation Trilogy,9 hrs and 15 mins,09-17-24,English,Not rated yet
The Witch of Webs,pirateaba,Andrea Parsneau,The Wandering Inn,45 hrs and 53 mins,06-11-24,English,5 out of 5 stars
Stateside,JD Kirk,Angus King,Robert Hoon Thrillers,12 hrs and 9 mins,07-04-24,English,4.5 out of 5 stars
Crown of Midnight,Sarah J. Maas,Elizabeth Evans,Throne of Glass,12 hrs and 43 mins,01-28-21,English,5 out of 5 stars
A Court of Silver Flames,Sarah J. Maas,Stina Nielsen,A Court of Thorns and Roses,26 hrs and 5 mins,02-16-21,English,4.5 out of 5 stars
The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,Kenneth Branagh,The Chronicles of Narnia (Publication Order),33 hrs and 45 mins,12-27-19,English,5 out of 5 stars
Ask Not,Maureen Callahan,Gabra Zackman,,11 hrs and 18 mins,07-02-24,English,4.5 out of 5 stars
The Anthropologists,Aysegül Savas,Kathryn Aboya,,4 hrs and 15 mins,07-09-24,English,Not rated yet
Snaring Emberly,Gigi Styx,Xander Stone,,17 hrs and 57 mins,07-09-24,English,Not rated yet
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Jim Dale,Harry Potter,9 hrs and 2 mins,11-20-15,English,5 out of 5 stars
I Am the GOAT,Marc Mulero,Armen Taylor,I Am the GOAT,14 hrs and 18 mins,07-09-24,English,5 out of 5 stars
"Apocalypse Redux, Book 6",Jakob H. Greif,Daniel Thomas May,Apocalypse Redux,16 hrs and 13 mins,06-18-24,English,5 out of 5 stars
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Jim Dale,Harry Potter,11 hrs and 49 mins,11-20-15,English,5 out of 5 stars
The Five Year Lie,Sarina Bowen,Kathleen Early,,12 hrs and 41 mins,05-07-24,English,4.5 out of 5 stars
The Contact,Saul Herzog,Jay Myers,Lance Spector Thrillers,6 hrs and 8 mins,07-01-24,English,4.5 out of 5 stars
Empire of Storms,Sarah J. Maas,Elizabeth Evans,Throne of Glass,25 hrs and 18 mins,09-06-16,English,5 out of 5 stars
The Hero of Ages,Brandon Sanderson,Michael Kramer,The Mistborn Saga,27 hrs and 25 mins,12-30-07,English,5 out of 5 stars
Before I Let Go,Kennedy Ryan,Wesleigh Siobhan,Skyland,13 hrs and 45 mins,11-15-22,English,5 out of 5 stars
Protocols,Andrew Huberman,,,Not Yet Known,04-24-25,English,Not rated yet
Days of Shattered Faith,Adrian Tchaikovsky,David Thorpe,The Tyrant Philosophers,17 hrs,12-05-24,English,Not rated yet
Kingdom of Ash,Sarah J. Maas,Elizabeth Evans,Throne of Glass,33 hrs and 11 mins,10-23-18,English,5 out of 5 stars
Queen of Shadows,Sarah J. Maas,Elizabeth Evans,Throne of Glass,20 hrs and 43 mins,09-01-15,English,5 out of 5 stars
The Laws of Human Nature,Robert Greene,Paul Michael,,28 hrs and 26 mins,10-23-18,English,5 out of 5 stars
The Terminal List,Jack Carr,Ray Porter,Terminal List Book Series,12 hrs and 3 mins,03-06-18,English,5 out of 5 stars
He Who Fights with Monsters: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Heath Miller,He Who Fights with Monsters,28 hrs and 56 mins,03-09-21,English,5 out of 5 stars
The Cuillin Dead,J M Dalgliesh,Angus King,The Misty Isle,9 hrs and 27 mins,06-30-24,English,4.5 out of 5 stars
Love in a Small Town,"Kandi Steiner,Catherine Cowles,Lena Hendrix,Laura Pavlov",Connor Crais,,35 hrs and 7 mins,06-28-24,English,4.5 out of 5 stars
Nexus,Yuval Noah Harari,,,14 hrs,09-10-24,English,Not rated yet
Heir of Fire,Sarah J. Maas,Elizabeth Evans,Throne of Glass,17 hrs and 56 mins,09-02-21,English,5 out of 5 stars
Havana Storm,"Clive Cussler,Dirk Cussler",Scott Brick,Dirk Pitt Adventures,11 hrs,06-28-24,English,Not rated yet
Entrepreneur Revolution,Daniel Priestley,Grant Cartwright,,5 hrs and 49 mins,07-09-24,English,Not rated yet
