Title,Book Author,Narrated by,Series,Book Length,Released Date,Language,Ratings
Lord of the Dragon Riders 2,"Turner Tellborn,Marcus Sloss",Adam Stubbs,The Firebound Dragon Riders,7 hrs and 46 mins,07-01-24,English,5 out of 5 stars
Houseswap 101,Jaime Clevenger,Abby Craden,,8 hrs and 39 mins,06-25-24,English,5 out of 5 stars
Home and Alone,Daniel Stern,Daniel Stern,,9 hrs and 36 mins,07-09-24,English,Not rated yet
"Autocracy, Inc.",Anne Applebaum,Anne Applebaum,,4 hrs and 48 mins,07-23-24,English,Not rated yet
Harry Potter and the Order of the Phoenix (Narrated by Stephen Fry),J.K. Rowling,Stephen Fry,Harry Potter (Narrated by Stephen Fry),29 hrs and 1 min,04-18-24,English,5 out of 5 stars
Swan Song,Elin Hilderbrand,Erin Bennett,Nantucket,13 hrs and 39 mins,06-11-24,English,4.5 out of 5 stars
Dealing with Mapinguari and Dogged Engineers,AJ Sherwood,David Lee Huynh,Sorcerer's Grimoire,6 hrs and 13 mins,07-16-24,English,Not rated yet
"Chrysalis, Books 1-3",RinoZ,Jeff Hays,Chrysalis,54 hrs and 41 mins,02-14-24,English,5 out of 5 stars
Creek,"Nora Phoenix,E.M. Lindsey",John Solo,Honorably Discharged,8 hrs and 47 mins,07-01-24,English,5 out of 5 stars
Enemy A(n)t the Gates,RinoZ,Jeff Hays,Chrysalis,20 hrs and 49 mins,06-11-24,English,5 out of 5 stars
The Next Best Fling,Gabriella Gamez,Ruby Corazon,,10 hrs and 14 mins,07-09-24,English,Not rated yet
Reckless,Lauren Roberts,Cecily Bednar Schmidt,The Powerless Trilogy,11 hrs and 24 mins,07-02-24,English,4.5 out of 5 stars
A Court of Mist and Fury (Part 2 of 2) (Dramatized Adaptation),Sarah J. Maas,Amanda Forstrom,A Court of Thorns and Roses,8 hrs and 23 mins,07-01-22,English,5 out of 5 stars
Tower of Dawn,Sarah J. Maas,Elizabeth Evans,Throne of Glass,22 hrs and 39 mins,09-05-17,English,5 out of 5 stars
The Sword and the Sophomore,B.P. Sweany,Tami Stronach,,10 hrs and 29 mins,07-09-24,English,Not rated yet
W.E.B. Griffin Zero Option,Peter Kirsanow,Stefan Rudnicki,Men at War,10 hrs and 51 mins,07-09-24,English,Not rated yet
The Power of Your Dreams,"Stephanie Ike Okafor,Touré Roberts",Stephanie Ike Okafor,,7 hrs,08-20-24,English,Not rated yet
The Fellowship of the Ring,J. R. R. Tolkien,Rob Inglis,The Lord of the Rings,19 hrs and 7 mins,10-09-12,English,5 out of 5 stars
Becoming Supernatural,Joe Dispenza,Adam Boyce,,14 hrs and 6 mins,10-02-20,English,5 out of 5 stars
He Who Fights with Monsters 5,"Shirtaloon,Travis Deverell",Heath Miller,He Who Fights with Monsters,20 hrs and 5 mins,04-05-22,English,5 out of 5 stars
Damaged,Sloane Kennedy,Michael Dean,The Protectors (Kennedy),9 hrs and 12 mins,07-01-24,English,5 out of 5 stars
Heart of the Wolf,Cherise Sinclair,Noah Michael Levine,The Wild Hunt Legacy Series,14 hrs and 35 mins,07-01-24,English,5 out of 5 stars
Death at the Sign of the Rook,Kate Atkinson,,Jackson Brodie,12 hrs,09-24-24,English,Not rated yet
Poison Memories,Helen Phifer,Alison Campbell,Detective Morgan Brookes,7 hrs and 28 mins,07-02-24,English,5 out of 5 stars
Fairy Tale,Stephen King,Seth Numrich,,24 hrs and 6 mins,09-06-22,English,4.5 out of 5 stars
God Emperor of Dune,Frank Herbert,Simon Vance,Dune,15 hrs and 48 mins,12-30-07,English,4.5 out of 5 stars
The Mad Mick Box Set Volume 2,Franklin Horton,Kevin Pierce,The Mad Mick Series,29 hrs and 35 mins,04-01-24,English,5 out of 5 stars
The Rise and Fall of the Third Reich,William L. Shirer,Grover Gardner,,57 hrs and 11 mins,07-16-10,English,5 out of 5 stars
The Reckoning,"Caroline Peckham,Susanne Valenti",Bridget Bordeaux,Zodiac Academy,17 hrs and 40 mins,09-23-21,English,5 out of 5 stars
Second Chance Swordsman 3,Jakob Tanner,Steve Campbell,Second Chance Swordsman,15 hrs and 48 mins,06-25-24,English,5 out of 5 stars
Summers End,Juneau Black,Cassandra Campbell,Shady Hollow Mysteries,8 hrs and 20 mins,07-09-24,English,Not rated yet
"Smart, Not Loud",Jessica Chen,Jessica Chen,,6 hrs and 36 mins,07-09-24,English,Not rated yet
After You've Gone,Margot Hunt,Stephanie Einstein,,2 hrs and 59 mins,06-27-24,English,4.5 out of 5 stars
All My Secrets,Lynn Austin,Sarah Zimmerman,,12 hrs and 37 mins,02-06-24,English,5 out of 5 stars
The Sunlit Man,Brandon Sanderson,William DeMeritt,Secret Projects,11 hrs and 11 mins,04-23-24,English,5 out of 5 stars
The Wise Man's Fear,Patrick Rothfuss,Nick Podehl,Kingkiller Chronicle,42 hrs and 55 mins,03-03-11,English,5 out of 5 stars
All Witches on Deck,Amanda M. Lee,Angel Clark,Moonstone Bay Cozy Mystery,9 hrs and 51 mins,06-26-24,English,5 out of 5 stars
1984,George Orwell,Theo Moss,,9 hrs and 34 mins,07-03-24,English,Not rated yet
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible",Thomas Nelson Inc.,Jason Alexander,,98 hrs and 1 min,11-05-09,English,4.5 out of 5 stars
A Season for That,Steve Hoffman,Steve Hoffman,,10 hrs and 47 mins,07-09-24,English,Not rated yet
Harry Potter and the Philosopher's Stone (Narrated by Stephen Fry),J.K. Rowling,Stephen Fry,Harry Potter (Narrated by Stephen Fry),8 hrs and 25 mins,04-18-24,English,5 out of 5 stars
My Catgirl Broke the Internet,Grady Sparks,Melanie Hastings,Quickies with Cuties,4 hrs and 15 mins,06-27-24,English,4.5 out of 5 stars
Hábitos atómicos (Español neutro),James Clear,Arturo Guerrero,,9 hrs and 1 min,09-30-20,Spanish,5 out of 5 stars
Fae and Fare,pirateaba,Andrea Parsneau,The Wandering Inn,61 hrs and 4 mins,07-14-20,English,5 out of 5 stars
Disquiet Gods,Christopher Ruocchio,Samuel Roukin,Sun Eater,31 hrs and 38 mins,04-30-24,English,5 out of 5 stars
Iron Flame,Rebecca Yarros,Rebecca Soler,The Empyrean,28 hrs and 16 mins,11-07-23,English,4.5 out of 5 stars
A Dance with Dragons,George R.R. Martin,Roy Dotrice,A Song of Ice and Fire,48 hrs and 55 mins,07-12-11,English,4.5 out of 5 stars
The Presidents and the People,Corey Brettschneider,Stephen Bel Davies,,13 hrs and 22 mins,07-02-24,English,5 out of 5 stars
He Who Fights with Monsters 10,"Shirtaloon,Travis Deverell",Heath Miller,He Who Fights with Monsters,25 hrs and 18 mins,11-28-23,English,5 out of 5 stars
The Finish Line,Kate Stewart,Maxine Mitchell,The Ravenhood,14 hrs and 39 mins,08-03-21,English,5 out of 5 stars
ADHD Is Awesome,"Penn Holderness,Kim Holderness,Edward Hallowell - foreword",Penn Holderness,,8 hrs and 50 mins,04-30-24,English,5 out of 5 stars
"Overlord, Vol. 13","Kugane Maruyama,Emily Balistrieri - translator",Chris Guerrero,Overlord,12 hrs and 37 mins,07-16-24,English,Not rated yet
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,full cast,The Empyrean,9 hrs and 22 mins,02-09-24,English,4.5 out of 5 stars
Yumi and the Nightmare Painter,Brandon Sanderson,Kate Reading,Secret Projects,14 hrs and 43 mins,04-23-24,English,5 out of 5 stars
Nine Month Contract,Amy Daws,Erin Mallon,,10 hrs and 45 mins,04-11-24,English,4.5 out of 5 stars
Mind Games,Nora Roberts,January LaVoy,,14 hrs and 52 mins,05-21-24,English,4.5 out of 5 stars
The Two Towers,J. R. R. Tolkien,Andy Serkis,The Lord of the Rings,20 hrs and 46 mins,09-16-21,English,5 out of 5 stars
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Jim Dale,Harry Potter,26 hrs and 28 mins,11-20-15,English,5 out of 5 stars
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Jim Dale,Harry Potter,21 hrs and 36 mins,11-20-15,English,5 out of 5 stars
"Sugar, Baby",Celine Saintclare,Sara Novak,,9 hrs and 30 mins,01-09-24,English,4 out of 5 stars
Level Up,Max Walker,Nick J. Russo,Franklin U 2,6 hrs and 50 mins,07-01-24,English,4 out of 5 stars
The Goblins Are Revolting: An Isekai Adventure,D. D. Webb,Todd Haberkorn,Only Villains Do That,18 hrs and 17 mins,11-26-24,English,Not rated yet
Throne World,B.V. Larson,Mark Boyett,Undying Mercenaries,12 hrs and 29 mins,07-02-24,English,4.5 out of 5 stars
All This and More,Peng Shepherd,Helen Laser,,15 hrs and 39 mins,07-09-24,English,Not rated yet
Bad Tourists,Caro Carver,Lesley Sharp,,9 hrs and 40 mins,07-09-24,English,Not rated yet
Not Till We Are Lost,Dennis E. Taylor,Ray Porter,Bobiverse,11 hrs and 41 mins,09-05-24,English,5 out of 5 stars
Harry Potter and the Chamber of Secrets (Narrated by Stephen Fry),J.K. Rowling,Stephen Fry,Harry Potter (Narrated by Stephen Fry),9 hrs and 43 mins,04-18-24,English,5 out of 5 stars
Filthy Rich: The Complete Series,Julie Kriss,Jason Clarke,Filthy Rich Series,25 hrs and 47 mins,07-05-24,English,Not rated yet
Lovefest,JA Armstrong,Xe Sands,,8 hrs and 18 mins,07-09-24,English,5 out of 5 stars
Sect,Deacon Frost,Raya Kane,The Rider's Dragon,11 hrs and 10 mins,07-01-24,English,4.5 out of 5 stars
When He Was Wicked,Julia Quinn,Rosalyn Landor,Bridgertons,11 hrs and 29 mins,03-17-20,English,4.5 out of 5 stars
A Court of Silver Flames (2 of 2) (Dramatized Adaptation),Sarah J. Maas,Colleen Delany,A Court of Thorns and Roses,10 hrs and 33 mins,10-30-23,English,5 out of 5 stars
The Invitation: A Horror Movie LitRPG,Rob M. Lastrel,Adam Sims,The Game at Carousel,14 hrs and 51 mins,07-09-24,English,5 out of 5 stars
Sanctuary,Stacey Reynolds,Justine Eyre,The O'Brien Tales,11 hrs and 59 mins,06-18-24,English,5 out of 5 stars
Romancing Mister Bridgerton,Julia Quinn,Rosalyn Landor,Bridgertons,13 hrs and 17 mins,04-06-17,English,4.5 out of 5 stars
Resurrection,Danielle Steel,Dan John Miller,,6 hrs and 59 mins,06-25-24,English,4 out of 5 stars
Forever After All,Kaylee Ryan,Alexa Elmy,,8 hrs and 12 mins,07-09-24,English,5 out of 5 stars
Tell It to Me Singing,Tita Ramirez,Yareli Arizmendi,,11 hrs and 20 mins,07-09-24,English,Not rated yet
A Lord of Snow and Greed,Ashley McLeo,Avie Paige,The Winter Court Series,16 hrs and 16 mins,07-09-24,English,Not rated yet
A Court of Frost and Starlight (Dramatized Adaptation),Sarah J. Maas,Amanda Forstrom,A Court of Thorns and Roses,5 hrs and 33 mins,03-01-23,English,4.5 out of 5 stars
Iron Flame (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,full cast,The Empyrean,11 hrs and 38 mins,05-17-24,English,5 out of 5 stars
Outlive,"Peter Attia MD,Bill Gifford - contributor",Peter Attia MD,,17 hrs and 7 mins,03-28-23,English,5 out of 5 stars
The Subtle Art of Not Giving a F*ck,Mark Manson,Roger Wayne,,5 hrs and 17 mins,09-13-16,English,4.5 out of 5 stars
The House of Eve,Sadeqa Johnson,Ariel Blake,,10 hrs and 37 mins,02-07-23,English,5 out of 5 stars
For the Fans,Nyla K,Javi Wilder,,22 hrs and 39 mins,10-03-23,English,5 out of 5 stars
The Duke and I,Julia Quinn,Rosalyn Landor,Bridgertons,12 hrs and 9 mins,09-13-16,English,4.5 out of 5 stars
Bog Standard Isekai: Scarred,Miles English,Johnathan McClain,Bog Standard Isekai,18 hrs,06-04-24,English,5 out of 5 stars
Adventures of a Bookworm,Kathleen Brooks,Erin Mallon,Paige Turner Series,5 hrs and 23 mins,06-28-24,English,4.5 out of 5 stars
Happily Ever After: The Complete Platinum Security Series Collection,Kelly Myers,Kenneth Elliott,Platinum Security Series,31 hrs and 45 mins,07-03-24,English,5 out of 5 stars
The Navigator,"Clive Cussler,Paul Kemprecos",Scott Brick,The NUMA Files,14 hrs and 35 mins,06-28-24,English,Not rated yet
Burn,Anna Hackett,Tim Paige,Fury Brothers,5 hrs and 36 mins,06-17-24,English,4.5 out of 5 stars
The Wager,Carolyn Brown,Lillakah Scott,,4 hrs and 59 mins,07-03-24,English,3.5 out of 5 stars
Butcher & Blackbird,Brynne Weaver,Joe Arden,The Ruinous Love Trilogy,8 hrs and 43 mins,10-10-23,English,4.5 out of 5 stars
Remy,Eden Summers,Maxine Mitchell,,16 hrs and 53 mins,07-02-24,English,5 out of 5 stars
The Frugal Wizard’s Handbook for Surviving Medieval England,Brandon Sanderson,Michael Kramer,Secret Projects,9 hrs and 11 mins,04-23-24,English,4.5 out of 5 stars
Death: Genesis 7: An Isekai LitRPG,Nicholas Searcy,Eric Michael Summerer,Death: Genesis,18 hrs and 52 mins,11-05-24,English,Not rated yet
The Value of Others,Orion Taraban,Orion Taraban,,12 hrs and 38 mins,07-02-24,English,5 out of 5 stars
The Perfect Fit,Sadie Kincaid,Maxine Mitchell,,10 hrs and 28 mins,04-04-24,English,5 out of 5 stars
The Forever Ship,"Scott Bartlett,Joshua James",Mark Boyett,Starship Omega,18 hrs and 20 mins,05-22-24,English,4 out of 5 stars
The Two Towers,J. R. R. Tolkien,Rob Inglis,The Lord of the Rings,16 hrs and 40 mins,10-09-12,English,5 out of 5 stars
All of Me,A.L. Jackson,Andi Arndt,Confessions of the Heart Series,11 hrs and 57 mins,07-08-24,English,5 out of 5 stars
Under Locke,Mariana Zapata,Ava Erickson,,15 hrs and 38 mins,06-07-24,English,4.5 out of 5 stars
The Butcher's Masquerade,Matt Dinniman,Jeff Hays,Dungeon Crawler Carl,23 hrs and 33 mins,05-26-22,English,5 out of 5 stars
The Fellowship of the Ring,J. R. R. Tolkien,Andy Serkis,The Lord of the Rings,22 hrs and 38 mins,09-16-21,English,5 out of 5 stars
Leather & Lark,Brynne Weaver,Samantha Brentmoor,The Ruinous Love Trilogy,12 hrs and 15 mins,06-04-24,English,4.5 out of 5 stars
Fragile Sanctuary,Catherine Cowles,Zachary Webber,,11 hrs and 32 mins,05-16-24,English,5 out of 5 stars
Twisted Lies,Ana Huang,Aiden Snow,Twisted,16 hrs and 23 mins,11-03-22,English,4.5 out of 5 stars
This Could Be Us,Kennedy Ryan,Ines del Castillo,Skyland,12 hrs and 20 mins,03-05-24,English,5 out of 5 stars
The Legend of Randidly Ghosthound 8,"Noret Flood,puddles4263",MacLeod Andrews,The Legend of Randidly Ghosthound,29 hrs and 7 mins,12-17-24,English,Not rated yet
Reckless Trust,Nyssa Kathryn,Avery Caris,Reckless,7 hrs and 51 mins,07-05-24,English,4.5 out of 5 stars
"PMP PMBOK 7 Project Management Professional Audio Study Guide 2024-2025: Perfect for Commuting, Exercising, and doing Chores!","Samuel Davidson,Rebecca Davidson",Brennan Koenigsreuter,,10 hrs,06-13-24,English,5 out of 5 stars
The Palestine Laboratory,Antony Loewenstein,Finlay Robertson,,9 hrs and 59 mins,07-11-24,English,Not rated yet
Breaking Bad Habits,Karen Elizabeth Riley,Lee Goettl,,3 hrs and 4 mins,07-08-24,English,5 out of 5 stars
Arctic Drift,"Clive Cussler,Dirk Cussler",Scott Brick,Dirk Pitt Adventures,13 hrs and 5 mins,06-28-24,English,Not rated yet
Bishop,Jacki James,Kirt Graves,Blue Collar Daddies,5 hrs and 45 mins,07-09-24,English,5 out of 5 stars
The Gate of the Feral Gods,Matt Dinniman,Jeff Hays,Dungeon Crawler Carl,18 hrs and 3 mins,09-16-21,English,5 out of 5 stars
He Who Fights with Monsters 9,"Shirtaloon,Travis Deverell",Heath Miller,He Who Fights with Monsters,28 hrs and 3 mins,04-18-23,English,5 out of 5 stars
The Rise of the Dragon,"George R. R. Martin,Elio M. García Jr,Linda Antonsson",Harry Lloyd,The Targaryen Dynasty: The House of the Dragon,8 hrs and 10 mins,10-25-22,English,4.5 out of 5 stars
Heaven's River,Dennis E. Taylor,Ray Porter,Bobiverse,16 hrs and 57 mins,09-24-20,English,5 out of 5 stars
A Talent for Murder,Peter Swanson,Sophie Amoss,,8 hrs and 24 mins,06-11-24,English,4.5 out of 5 stars
Invasion,Joshua James,Phil Thron,Heartland Aliens,10 hrs and 26 mins,06-27-24,English,5 out of 5 stars
Part of Your World,Abby Jimenez,Julia Whelan,Part of Your World,10 hrs and 5 mins,04-19-22,English,5 out of 5 stars
The Midnight Feast,Lucy Foley,Joe Eyre,,10 hrs and 20 mins,06-18-24,English,4.5 out of 5 stars
Under the Breaking Sky: The Complete Apocalyptic Horror Series,Nick Clausen,Spencer Dillehay,Under the Breaking Sky,59 hrs and 36 mins,05-29-24,English,4.5 out of 5 stars
Wayward Earth,"Jason Anspach,J.N. Chaney",R.C. Bray,Wayward Galaxy,12 hrs and 40 mins,06-25-24,English,5 out of 5 stars
He Who Fights with Monsters 4,"Shirtaloon,Travis Deverell",Heath Miller,He Who Fights with Monsters,22 hrs and 20 mins,12-28-21,English,5 out of 5 stars
Wild Love,Elsie Silver,Zachary Webber,Rose Hill,11 hrs and 26 mins,04-09-24,English,4.5 out of 5 stars
Legend of the Arch Magus: Publisher's Pack 6,Michael Sisa,Tom Taylorson,Legend of the Arch Magus,14 hrs and 26 mins,06-25-24,English,5 out of 5 stars
Dune,Frank Herbert,Scott Brick,Dune,21 hrs and 2 mins,12-31-06,English,4.5 out of 5 stars
Your Next Five Moves,Patrick Bet-David,Patrick Bet-David,,8 hrs and 6 mins,08-18-20,English,5 out of 5 stars
Elon Musk,Walter Isaacson,Jeremy Bobb,,20 hrs and 39 mins,09-12-23,English,5 out of 5 stars
The David Wolf Mystery Thriller Series: Books 1-4,Jeff Carson,Sean Patrick Hopkins,David Wolf,28 hrs and 16 mins,11-06-17,English,4.5 out of 5 stars
A Novel Way to Kill,Benedict Brown,George Blagden,,2 hrs and 54 mins,07-10-24,English,5 out of 5 stars
Rise of the Last Summoner 1,Todd Herzman,Matt Hicks,Rise of the Last Summoner,10 hrs and 2 mins,06-25-24,English,5 out of 5 stars
Love Unwritten,Lauren Asher,Noah B. Perez,,14 hrs and 28 mins,06-18-24,English,4.5 out of 5 stars
"Whoever You Are, Honey",Olivia Gatwood,Olivia Gatwood,,8 hrs and 7 mins,07-09-24,English,Not rated yet
The Honourable Schoolboy,John Le Carré,Simon Vance,George Smiley,20 hrs and 30 mins,07-09-24,English,Not rated yet
Pieces of Us,"T. B. Markinson,Miranda MacLeod",Lori Prince,,10 hrs and 14 mins,06-20-24,English,5 out of 5 stars
The Primal Hunter 2,Zogarth,Travis Baldree,The Primal Hunter,19 hrs and 25 mins,06-14-22,English,5 out of 5 stars
Goddess Rising,Rain Harlow,Hannah Schooner,Mirror World Progression Saga,20 hrs and 3 mins,06-25-24,English,4.5 out of 5 stars
Never Finished,David Goggins,David Goggins,,11 hrs and 6 mins,12-06-22,English,5 out of 5 stars
House of Flame and Shadow,Sarah J. Maas,Elizabeth Evans,Crescent City,29 hrs and 42 mins,01-30-24,English,4.5 out of 5 stars
This Great Hemisphere,Mateo Askaripour,Emana Rachelle,,15 hrs and 18 mins,07-09-24,English,5 out of 5 stars
Red Rising,Pierce Brown,Tim Gerard Reynolds,Red Rising Saga,16 hrs and 12 mins,01-28-14,English,4.5 out of 5 stars
The Return of the King,J. R. R. Tolkien,Andy Serkis,The Lord of the Rings,21 hrs and 52 mins,09-16-21,English,5 out of 5 stars
He Who Fights with Monsters 4,"Shirtaloon,Travis Deverell",Heath Miller,He Who Fights with Monsters,22 hrs and 20 mins,12-28-21,English,5 out of 5 stars
Wild Love,Elsie Silver,Zachary Webber,Rose Hill,11 hrs and 26 mins,04-09-24,English,4.5 out of 5 stars
Legend of the Arch Magus: Publisher's Pack 6,Michael Sisa,Tom Taylorson,Legend of the Arch Magus,14 hrs and 26 mins,06-25-24,English,5 out of 5 stars
Dune,Frank Herbert,Scott Brick,Dune,21 hrs and 2 mins,12-31-06,English,4.5 out of 5 stars
Your Next Five Moves,Patrick Bet-David,Patrick Bet-David,,8 hrs and 6 mins,08-18-20,English,5 out of 5 stars
Elon Musk,Walter Isaacson,Jeremy Bobb,,20 hrs and 39 mins,09-12-23,English,5 out of 5 stars
The David Wolf Mystery Thriller Series: Books 1-4,Jeff Carson,Sean Patrick Hopkins,David Wolf,28 hrs and 16 mins,11-06-17,English,4.5 out of 5 stars
A Novel Way to Kill,Benedict Brown,George Blagden,,2 hrs and 54 mins,07-10-24,English,5 out of 5 stars
Rise of the Last Summoner 1,Todd Herzman,Matt Hicks,Rise of the Last Summoner,10 hrs and 2 mins,06-25-24,English,5 out of 5 stars
Love Unwritten,Lauren Asher,Noah B. Perez,,14 hrs and 28 mins,06-18-24,English,4.5 out of 5 stars
"Whoever You Are, Honey",Olivia Gatwood,Olivia Gatwood,,8 hrs and 7 mins,07-09-24,English,Not rated yet
The Honourable Schoolboy,John Le Carré,Simon Vance,George Smiley,20 hrs and 30 mins,07-09-24,English,Not rated yet
Pieces of Us,"T. B. Markinson,Miranda MacLeod",Lori Prince,,10 hrs and 14 mins,06-20-24,English,5 out of 5 stars
The Primal Hunter 2,Zogarth,Travis Baldree,The Primal Hunter,19 hrs and 25 mins,06-14-22,English,5 out of 5 stars
Goddess Rising,Rain Harlow,Hannah Schooner,Mirror World Progression Saga,20 hrs and 3 mins,06-25-24,English,4.5 out of 5 stars
Never Finished,David Goggins,David Goggins,,11 hrs and 6 mins,12-06-22,English,5 out of 5 stars
House of Flame and Shadow,Sarah J. Maas,Elizabeth Evans,Crescent City,29 hrs and 42 mins,01-30-24,English,4.5 out of 5 stars
This Great Hemisphere,Mateo Askaripour,Emana Rachelle,,15 hrs and 18 mins,07-09-24,English,5 out of 5 stars
Red Rising,Pierce Brown,Tim Gerard Reynolds,Red Rising Saga,16 hrs and 12 mins,01-28-14,English,4.5 out of 5 stars
The Return of the King,J. R. R. Tolkien,Andy Serkis,The Lord of the Rings,21 hrs and 52 mins,09-16-21,English,5 out of 5 stars
